epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,242.782,1.16623,1.38357,1.33023,0.77407,0.57359,0.6731,0.33953,1.69312,2.14054,1.69107,0.000755,0.000755,0.000755
22,255.204,1.06006,1.24452,1.25626,0.71807,0.50106,0.57967,0.28274,1.75478,2.25672,1.73111,0.00073025,0.00073025,0.00073025
23,267.719,1.10566,1.30837,1.29162,0.57663,0.65534,0.59441,0.33457,1.60212,2.1873,1.50071,0.0007055,0.0007055,0.0007055
24,279.891,1.09548,1.24289,1.28969,0.72084,0.61698,0.66877,0.37256,1.59302,2.12638,1.59603,0.00068075,0.00068075,0.00068075
25,292.002,1.06274,1.27736,1.28756,0.66432,0.62356,0.64855,0.35005,1.63777,2.24413,1.68223,0.000656,0.000656,0.000656
26,304.617,1.09103,1.28815,1.29962,0.61265,0.67471,0.62995,0.35684,1.51235,2.1822,1.54068,0.00063125,0.00063125,0.00063125
27,317.369,1.04779,1.22621,1.26203,0.61861,0.70578,0.6737,0.36756,1.49129,2.06391,1.48023,0.0006065,0.0006065,0.0006065
28,329.862,0.96698,1.12194,1.21367,0.68119,0.71779,0.70498,0.4259,1.4989,1.98331,1.50881,0.00058175,0.00058175,0.00058175
29,342.455,1.0009,1.15385,1.24643,0.79073,0.69988,0.74374,0.44074,1.50464,1.86012,1.54503,0.000557,0.000557,0.000557
30,355.52,0.9734,1.08988,1.21634,0.77927,0.73772,0.74194,0.4358,1.49411,1.9389,1.52369,0.00053225,0.00053225,0.00053225
31,368.959,0.98293,1.15198,1.22444,0.74174,0.7274,0.71868,0.41624,1.53331,1.99339,1.54117,0.0005075,0.0005075,0.0005075
32,382.067,0.92189,1.0584,1.18189,0.77956,0.65134,0.68407,0.40236,1.58102,1.85688,1.5931,0.00048275,0.00048275,0.00048275
33,394.604,0.92782,1.09096,1.19492,0.72109,0.71516,0.7007,0.42057,1.52714,1.7612,1.5374,0.000458,0.000458,0.000458
34,408.204,0.91506,1.07293,1.1628,0.8092,0.68506,0.6826,0.38214,1.52265,1.82914,1.55759,0.00043325,0.00043325,0.00043325
35,420.189,0.89342,1.04692,1.1795,0.69615,0.67981,0.66806,0.36874,1.52417,1.9248,1.56369,0.0004085,0.0004085,0.0004085
36,433.197,0.88673,1.02222,1.16598,0.73174,0.73806,0.69907,0.39718,1.52313,1.79259,1.569,0.00038375,0.00038375,0.00038375
37,446.897,0.90818,1.00659,1.15699,0.83633,0.69972,0.68551,0.4105,1.46153,1.80024,1.51855,0.000359,0.000359,0.000359
38,459.801,0.89083,0.997,1.14861,0.74483,0.71106,0.67596,0.40751,1.44492,1.77588,1.49584,0.00033425,0.00033425,0.00033425
39,472.353,0.85627,0.99908,1.13783,0.7953,0.65726,0.69032,0.41894,1.46498,1.77466,1.49909,0.0003095,0.0003095,0.0003095
40,485.083,0.87427,1.00435,1.17783,0.84057,0.71912,0.69758,0.4215,1.52214,1.7097,1.53675,0.00028475,0.00028475,0.00028475
41,498.879,0.79266,1.21665,1.107,0.83412,0.71488,0.70253,0.40982,1.55383,1.7566,1.56896,0.00026,0.00026,0.00026
42,512.939,0.7827,1.12636,1.12348,0.82107,0.69108,0.68729,0.41433,1.53295,1.87068,1.55446,0.00023525,0.00023525,0.00023525
43,527.718,0.79811,1.11227,1.09653,0.82528,0.71072,0.68865,0.40157,1.57365,2.07154,1.5824,0.0002105,0.0002105,0.0002105
44,542.387,0.79699,1.07205,1.10388,0.87789,0.55806,0.54564,0.33095,1.53334,1.966,1.54503,0.00018575,0.00018575,0.00018575
45,557.402,0.72871,1.01497,1.08985,0.83789,0.69207,0.68895,0.41553,1.50749,1.83614,1.53476,0.000161,0.000161,0.000161
46,570.005,0.73971,0.99466,1.08733,0.79841,0.71591,0.69482,0.41821,1.4983,1.7413,1.54886,0.00013625,0.00013625,0.00013625
47,583.021,0.74907,0.98987,1.08136,0.85855,0.71859,0.69686,0.41068,1.51226,1.69893,1.56694,0.0001115,0.0001115,0.0001115
48,596.08,0.70784,0.92458,1.05313,0.88712,0.71038,0.70534,0.42735,1.48804,1.67466,1.5521,8.675e-05,8.675e-05,8.675e-05
49,609.418,0.71358,0.93939,1.04919,0.84703,0.72066,0.70873,0.42129,1.50114,1.62495,1.55139,6.2e-05,6.2e-05,6.2e-05
50,623.466,0.68402,0.97255,1.04426,0.84586,0.72082,0.71652,0.43563,1.45087,1.62957,1.49644,3.725e-05,3.725e-05,3.725e-05
