epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3276,1.5218,3.46738,1.60937,0.00845,0.6601,0.16061,0.09077,1.34728,3.82181,1.36515,0.0001,0.0001,0.0001
2,23.4762,1.32562,3.28971,1.49239,0.01243,0.78606,0.20623,0.11948,1.36519,3.72175,1.32409,0.000208293,0.000208293,0.000208293
3,33.7184,1.32128,3.03337,1.48583,0.01387,0.71683,0.29936,0.15841,1.46951,3.79314,1.47672,0.00031213,0.00031213,0.00031213
4,43.9284,1.32058,2.85138,1.49451,0.01011,0.67981,0.33822,0.19806,1.54033,3.79169,1.53365,0.000411512,0.000411512,0.000411512
5,54.5062,1.36801,2.58162,1.531,0.00824,0.75481,0.33884,0.19565,1.48112,3.65615,1.51898,0.00050644,0.00050644,0.00050644
6,65.5961,1.2912,2.22688,1.44927,0.19521,0.62933,0.47348,0.26457,1.59254,3.61714,1.66172,0.000596913,0.000596913,0.000596913
7,76.7986,1.27109,2.00771,1.46751,0.82266,0.18025,0.4291,0.23197,1.70062,3.50446,1.81858,0.00068293,0.00068293,0.00068293
8,87.9796,1.34422,1.87577,1.49335,0.72446,0.32746,0.43668,0.24021,1.83722,3.27498,1.78121,0.000764493,0.000764493,0.000764493
9,99.0585,1.32717,1.88701,1.50335,0.35259,0.32788,0.31808,0.17639,1.77412,3.3544,1.93876,0.0008416,0.0008416,0.0008416
10,110.406,1.28561,1.77193,1.46749,0.2894,0.35913,0.30288,0.16081,1.77286,3.16123,1.91213,0.000914253,0.000914253,0.000914253
11,121.9,1.30118,1.74527,1.47572,0.72143,0.48606,0.41709,0.2351,1.72087,2.89494,1.76895,0.00098245,0.00098245,0.00098245
12,133.36,1.30641,1.69769,1.42746,0.72744,0.35913,0.46173,0.25761,1.81956,2.87131,1.76323,0.00097775,0.00097775,0.00097775
13,145.032,1.24984,1.56807,1.41942,0.76551,0.49762,0.56061,0.32826,1.6442,2.52009,1.73687,0.000953,0.000953,0.000953
14,156.473,1.20264,1.57752,1.36098,0.88524,0.38742,0.55228,0.34155,1.7717,2.55266,1.72998,0.00092825,0.00092825,0.00092825
15,168.54,1.2358,1.54804,1.38513,0.6567,0.52885,0.53035,0.30767,1.74781,2.6548,1.64334,0.0009035,0.0009035,0.0009035
16,180.572,1.17774,1.51064,1.35128,0.53773,0.6191,0.59379,0.35036,1.61483,2.58293,1.55686,0.00087875,0.00087875,0.00087875
17,192.379,1.13209,1.45556,1.31528,0.46806,0.61465,0.55036,0.29618,1.63608,2.58904,1.57443,0.000854,0.000854,0.000854
18,204.877,1.1257,1.4347,1.32139,0.42134,0.55481,0.51377,0.29403,1.67335,2.60694,1.72985,0.00082925,0.00082925,0.00082925
19,217.628,1.09562,1.34367,1.28847,0.70932,0.37081,0.49078,0.25157,1.76449,2.69964,1.78756,0.0008045,0.0008045,0.0008045
20,230.383,1.12341,1.31948,1.30773,0.67837,0.58248,0.62261,0.31371,1.68049,2.14062,1.70612,0.00077975,0.00077975,0.00077975
