epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,463.324,0.98366,1.05192,1.20286,0.70838,0.76676,0.75409,0.44367,1.51134,1.64583,1.44388,0.000792125,0.000792125,0.000792125
39,476.633,0.98834,1.04914,1.2198,0.92711,0.56884,0.74929,0.43483,1.51822,1.77985,1.47695,0.00077975,0.00077975,0.00077975
40,490.926,0.9804,1.08228,1.23293,0.73422,0.59726,0.70654,0.39365,1.66174,1.80639,1.63891,0.000767375,0.000767375,0.000767375
41,505.297,1.00314,1.03058,1.21735,0.68221,0.6147,0.66398,0.38153,1.59596,1.76308,1.55311,0.000755,0.000755,0.000755
42,519.084,0.93868,0.96561,1.18576,0.87128,0.6419,0.68688,0.39152,1.60375,1.7431,1.61163,0.000742625,0.000742625,0.000742625
43,533.035,0.91991,0.96341,1.18845,0.85863,0.59856,0.67514,0.37975,1.62736,1.85745,1.651,0.00073025,0.00073025,0.00073025
44,546.144,0.94774,0.98885,1.21595,0.78333,0.69131,0.73283,0.39958,1.6179,1.73178,1.7022,0.000717875,0.000717875,0.000717875
45,559.267,0.9582,1.01902,1.22233,0.78798,0.5921,0.66499,0.37487,1.65924,1.87742,1.74101,0.0007055,0.0007055,0.0007055
46,573.436,0.9416,0.98842,1.21766,0.68106,0.5861,0.62766,0.36107,1.5818,1.87989,1.66976,0.000693125,0.000693125,0.000693125
47,587.336,0.92945,0.94324,1.18193,0.74949,0.58214,0.63143,0.36254,1.49843,1.85798,1.58094,0.00068075,0.00068075,0.00068075
48,601.874,0.92167,0.93558,1.1896,0.78383,0.68083,0.68462,0.37876,1.51193,1.79742,1.59957,0.000668375,0.000668375,0.000668375
49,616.158,0.91919,0.89986,1.198,0.75217,0.65455,0.67137,0.36653,1.57343,1.80168,1.61745,0.000656,0.000656,0.000656
50,631.417,0.91511,0.9303,1.19925,0.75581,0.63654,0.7123,0.35586,1.74051,1.761,1.6584,0.000643625,0.000643625,0.000643625
51,647.435,0.89547,0.9521,1.20577,0.69913,0.72894,0.73648,0.38179,1.69084,1.63897,1.61346,0.00063125,0.00063125,0.00063125
52,662.724,0.874,0.89369,1.15374,0.78067,0.73543,0.73966,0.40884,1.63541,1.5655,1.57413,0.000618875,0.000618875,0.000618875
53,678.275,0.85295,0.87264,1.14341,0.81345,0.6795,0.72535,0.42299,1.57866,1.60321,1.56793,0.0006065,0.0006065,0.0006065
54,692.817,0.86307,0.86208,1.14578,0.81506,0.65481,0.69239,0.40277,1.58431,1.60927,1.57371,0.000594125,0.000594125,0.000594125
55,707.183,0.84971,0.84239,1.15172,0.75229,0.74689,0.7046,0.40566,1.57084,1.55726,1.56447,0.00058175,0.00058175,0.00058175
56,721.927,0.91429,0.88268,1.20999,0.86008,0.73054,0.7309,0.41936,1.59009,1.52349,1.54349,0.000569375,0.000569375,0.000569375
57,736.695,0.89517,0.88913,1.15655,0.85446,0.67981,0.71033,0.38525,1.56819,1.53049,1.55778,0.000557,0.000557,0.000557
58,751.812,0.8314,0.80281,1.12652,0.81291,0.64739,0.69155,0.37395,1.53301,1.51647,1.53987,0.000544625,0.000544625,0.000544625
59,765.876,0.85427,0.85909,1.16406,0.83359,0.67903,0.69012,0.38806,1.55652,1.51475,1.55041,0.00053225,0.00053225,0.00053225
60,781.33,0.8471,0.78337,1.13727,0.82686,0.65775,0.66793,0.35011,1.67862,1.53306,1.68985,0.000519875,0.000519875,0.000519875
61,797.039,0.80745,0.81542,1.12228,0.80993,0.70504,0.71199,0.38269,1.66447,1.45586,1.67846,0.0005075,0.0005075,0.0005075
62,813.187,0.77508,0.79029,1.09999,0.80946,0.64345,0.64379,0.36811,1.5722,1.46811,1.58891,0.000495125,0.000495125,0.000495125
63,828.898,0.7832,0.77546,1.12289,0.8441,0.72871,0.73571,0.40575,1.5186,1.5279,1.5347,0.00048275,0.00048275,0.00048275
64,844.993,0.78263,0.78875,1.10246,0.80386,0.7059,0.67787,0.35308,1.62122,1.5359,1.63586,0.000470375,0.000470375,0.000470375
65,859.785,0.76807,0.74245,1.08806,0.71144,0.64465,0.6011,0.3337,1.60412,1.49021,1.6237,0.000458,0.000458,0.000458
66,875.508,0.7436,0.75046,1.09114,0.70082,0.72404,0.68195,0.38437,1.55644,1.44054,1.60855,0.000445625,0.000445625,0.000445625
67,889.83,0.76542,0.71619,1.102,0.73742,0.66058,0.67264,0.38894,1.53592,1.5565,1.60335,0.00043325,0.00043325,0.00043325
68,906.165,0.77658,0.73886,1.09534,0.7856,0.65935,0.64523,0.37413,1.51262,1.50122,1.56102,0.000420875,0.000420875,0.000420875
69,921.204,0.79707,0.75627,1.12379,0.86244,0.69819,0.67584,0.38489,1.45198,1.4638,1.5124,0.0004085,0.0004085,0.0004085
70,937.012,0.74455,0.73075,1.08052,0.87195,0.69904,0.67539,0.38824,1.45144,1.47633,1.54466,0.000396125,0.000396125,0.000396125
71,951.479,0.77623,0.74808,1.10905,0.86825,0.69904,0.65945,0.37458,1.47719,1.49405,1.5652,0.00038375,0.00038375,0.00038375
72,966.184,0.68659,0.71328,1.04467,0.89712,0.69904,0.66421,0.37735,1.53025,1.38023,1.57799,0.000371375,0.000371375,0.000371375
73,982.617,0.73303,0.71041,1.07609,0.74445,0.64601,0.58887,0.33997,1.56085,1.40037,1.59482,0.000359,0.000359,0.000359
74,998.14,0.73587,0.71896,1.07447,0.7785,0.68558,0.6628,0.34293,1.59637,1.45947,1.62893,0.000346625,0.000346625,0.000346625
75,1015.42,0.71199,0.69848,1.05782,0.83413,0.70481,0.66373,0.33474,1.62857,1.49961,1.65661,0.00033425,0.00033425,0.00033425
76,1030.85,0.74549,0.72095,1.10737,0.79072,0.69758,0.65628,0.34366,1.63152,1.4289,1.6614,0.000321875,0.000321875,0.000321875
77,1046.22,0.70672,0.70784,1.0692,0.88964,0.59904,0.62371,0.33851,1.58302,1.28539,1.61199,0.0003095,0.0003095,0.0003095
78,1063.03,0.76035,0.73377,1.10257,0.76056,0.74965,0.70532,0.37975,1.55037,1.295,1.57611,0.000297125,0.000297125,0.000297125
79,1080.83,0.69515,0.68168,1.07306,0.77894,0.64919,0.62785,0.36149,1.53556,1.31772,1.54826,0.00028475,0.00028475,0.00028475
80,1097.7,0.70867,0.66919,1.0597,0.88772,0.67229,0.70191,0.40303,1.49053,1.3129,1.52114,0.000272375,0.000272375,0.000272375
81,1115.01,0.70785,0.65914,1.06099,0.78811,0.71903,0.69906,0.40401,1.45861,1.31583,1.50516,0.00026,0.00026,0.00026
82,1130.25,0.66375,0.65007,1.05561,0.89141,0.67913,0.69472,0.39796,1.47859,1.33438,1.51259,0.000247625,0.000247625,0.000247625
83,1146.04,0.63798,0.62504,1.0397,0.88449,0.67284,0.69471,0.39551,1.47895,1.35795,1.52431,0.00023525,0.00023525,0.00023525
84,1163.82,0.69069,0.65528,1.07716,0.86868,0.60784,0.60893,0.35366,1.46256,1.35143,1.53483,0.000222875,0.000222875,0.000222875
85,1180.3,0.65266,0.61811,1.03186,0.88439,0.70478,0.7214,0.4006,1.4733,1.32617,1.56006,0.0002105,0.0002105,0.0002105
86,1196.7,0.66449,0.63015,1.0451,0.82468,0.74088,0.7253,0.42087,1.47733,1.32184,1.56858,0.000198125,0.000198125,0.000198125
87,1213.01,0.6627,0.61483,1.03663,0.88431,0.70599,0.71949,0.41929,1.45234,1.33422,1.54847,0.00018575,0.00018575,0.00018575
