epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5898,1.5218,3.46738,1.60937,0.00845,0.6601,0.16061,0.09077,1.34728,3.82181,1.36515,0.0001,0.0001,0.0001
2,23.7826,1.32297,3.28935,1.49043,0.01115,0.78606,0.26645,0.14854,1.36218,3.72501,1.31549,0.000210396,0.000210396,0.000210396
3,34.3297,1.33369,3.02042,1.48348,0.01405,0.79183,0.33418,0.18574,1.47233,3.74993,1.44505,0.000318565,0.000318565,0.000318565
4,44.7996,1.30717,2.79983,1.46306,0.00965,0.77981,0.33632,0.18193,1.49295,3.7728,1.51005,0.000424506,0.000424506,0.000424506
5,55.4426,1.38253,2.52111,1.52539,0.00795,0.78606,0.34234,0.21397,1.55161,3.67387,1.5775,0.00052822,0.00052822,0.00052822
6,66.2689,1.34878,2.18775,1.48224,0.0085,0.83029,0.31691,0.18025,1.60798,3.74988,1.70781,0.000629706,0.000629706,0.000629706
7,77.1679,1.3183,1.99787,1.49479,0.8059,0.14615,0.34434,0.18989,1.55971,3.37967,1.68939,0.000728965,0.000728965,0.000728965
8,88.3645,1.37338,1.89982,1.50391,0.87659,0.29214,0.49585,0.25475,1.58528,3.18327,1.59832,0.000825996,0.000825996,0.000825996
9,99.5349,1.33991,1.89598,1.50546,0.45773,0.29207,0.4248,0.20081,1.70738,3.18927,1.87312,0.0009208,0.0009208,0.0009208
10,110.893,1.28206,1.75745,1.4365,0.57387,0.43805,0.42322,0.18817,1.75239,3.24233,1.86295,0.00101338,0.00101338,0.00101338
11,122.542,1.25076,1.7328,1.44475,0.64906,0.4297,0.50946,0.25243,1.63982,3.04773,1.73841,0.00110373,0.00110373,0.00110373
12,134.219,1.29677,1.72858,1.42351,0.51326,0.50052,0.45077,0.22034,1.82961,2.76718,1.90646,0.00111388,0.00111388,0.00111388
13,145.688,1.28389,1.62337,1.44028,0.67925,0.36267,0.46658,0.20194,1.74854,2.90647,1.82203,0.0011015,0.0011015,0.0011015
14,157.065,1.30907,1.66345,1.42827,0.33386,0.38413,0.25922,0.13486,1.70263,3.2012,1.82507,0.00108913,0.00108913,0.00108913
15,168.833,1.26171,1.57404,1.40762,0.36305,0.37921,0.3024,0.14393,1.81129,3.13709,1.86463,0.00107675,0.00107675,0.00107675
16,180.377,1.19343,1.55977,1.36658,0.48108,0.47885,0.42468,0.23466,1.7748,2.78475,1.78951,0.00106437,0.00106437,0.00106437
17,192.206,1.21466,1.51324,1.37739,0.65355,0.50422,0.46238,0.26127,1.70709,2.65134,1.74267,0.001052,0.001052,0.001052
18,204.609,1.18981,1.43773,1.3528,0.43515,0.50481,0.47301,0.25967,1.78606,2.515,1.81026,0.00103962,0.00103962,0.00103962
19,217.508,1.13143,1.40629,1.324,0.73248,0.50137,0.55137,0.27658,1.67771,2.55166,1.83092,0.00102725,0.00102725,0.00102725
20,230.627,1.12107,1.33453,1.31203,0.79198,0.42725,0.53722,0.27649,1.65546,2.69053,1.76111,0.00101488,0.00101488,0.00101488
21,243.586,1.22168,1.41471,1.36246,0.53259,0.55904,0.59047,0.30388,1.69309,2.32905,1.77645,0.0010025,0.0010025,0.0010025
22,256.407,1.09947,1.28681,1.28581,0.65849,0.69946,0.70845,0.38699,1.61198,2.10895,1.67447,0.000990125,0.000990125,0.000990125
23,267.778,1.1223,1.33509,1.30861,0.80616,0.57788,0.68676,0.40687,1.5845,2.02653,1.64329,0.00097775,0.00097775,0.00097775
24,280.572,1.15227,1.3223,1.34495,0.76388,0.6062,0.64871,0.38674,1.58457,2.05192,1.61672,0.000965375,0.000965375,0.000965375
25,293.199,1.11469,1.30811,1.31705,0.74671,0.41746,0.50367,0.28841,1.80932,2.42582,1.76852,0.000953,0.000953,0.000953
26,306.084,1.15756,1.37903,1.35209,0.72659,0.4564,0.5211,0.26863,1.92883,2.50971,1.94121,0.000940625,0.000940625,0.000940625
27,319.763,1.11067,1.27631,1.30993,0.66486,0.63967,0.65082,0.34991,1.622,2.09998,1.67765,0.00092825,0.00092825,0.00092825
28,332.663,1.08524,1.17761,1.2803,0.71517,0.69147,0.67396,0.37246,1.6975,1.84586,1.63868,0.000915875,0.000915875,0.000915875
29,345.41,1.09449,1.21599,1.29515,0.67031,0.61154,0.6294,0.36103,1.62674,2.01014,1.65868,0.0009035,0.0009035,0.0009035
30,357.882,1.05696,1.15755,1.27312,0.75762,0.53842,0.62923,0.37137,1.56744,2.1183,1.61298,0.000891125,0.000891125,0.000891125
31,370.44,1.07884,1.19265,1.28169,0.64412,0.62308,0.62523,0.3134,1.73033,2.22454,1.79603,0.00087875,0.00087875,0.00087875
32,382.831,1.04827,1.08586,1.25733,0.7357,0.45386,0.54076,0.23758,1.921,2.37223,1.96317,0.000866375,0.000866375,0.000866375
33,395.341,1.04251,1.13446,1.26829,0.71588,0.55124,0.63396,0.28694,1.93075,2.20809,2.02035,0.000854,0.000854,0.000854
34,407.874,1.02682,1.07823,1.21704,0.69436,0.64305,0.67587,0.31557,1.78972,2.16183,1.89078,0.000841625,0.000841625,0.000841625
35,421.294,0.9872,1.11557,1.22591,0.75294,0.53058,0.64012,0.38778,1.68217,2.03588,1.69845,0.00082925,0.00082925,0.00082925
36,435.43,0.95784,1.04047,1.20333,0.73695,0.66388,0.69942,0.40212,1.57021,1.88773,1.68378,0.000816875,0.000816875,0.000816875
37,450.462,1.00358,1.10005,1.22309,0.70184,0.74904,0.74713,0.46387,1.52943,1.61889,1.53335,0.0008045,0.0008045,0.0008045
